drug_query,nct_id,brief_title,overall_status,start_date,completion_date,phase,study_type,enrollment,conditions,lead_sponsor
exenatide,NCT01154933,Exeantide in Type 2 Diabetes on Insulin,COMPLETED,,,PHASE2,INTERVENTIONAL,24,Type 2 Diabetes,University at Buffalo
exenatide,NCT00353587,Safety and Efficacy Study of Metaglidasen in Type 2 Diabetes in Patients Suboptimally Controlled on Insulin,COMPLETED,,,"PHASE2, PHASE3",INTERVENTIONAL,396,Type 2 Diabetes,Gilead Sciences
exenatide,NCT01140893,Effects of Exenatide on Glycemic Control and Weight in Continuous Subcutaneous Insulin Infusion (CSII) Type 2 Treated Patients With Type 2 Diabetes,UNKNOWN,,,"PHASE2, PHASE3",INTERVENTIONAL,110,Type 2 Diabetes,"University Hospital, Caen"
exenatide,NCT00099619,Comparing Exenatide and Insulin Glargine in Type 2 Diabetes Patients for Whom Insulin is the Next Appropriate Therapy,COMPLETED,,,PHASE3,INTERVENTIONAL,138,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT00917267,A Study to Examine the Effects of Exenatide Once-Weekly Injection on Glucose Control and Safety in Asian Subjects,COMPLETED,,,PHASE3,INTERVENTIONAL,691,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT01089569,Continuous Glucose Monitoring Evaluation of Exenatide Twice Daily Versus Insulin Glargine,COMPLETED,,,NA,INTERVENTIONAL,60,Type 2 Diabetes,HealthPartners Institute
exenatide,NCT01235819,Comparison Between GLP 1 Analogues and DPP 4 Inhibitors in Type 1 Diabetes Mellitus,COMPLETED,,,PHASE4,INTERVENTIONAL,20,Type 1 Diabetes,"Command Hospital, India"
exenatide,NCT02127541,New Imaging Procedure for the Localisation of Insulinoma,COMPLETED,2014-01-06,,NA,INTERVENTIONAL,52,Endogenous Hyperinsulinaemic Hypoglycaemia,"University Hospital, Basel, Switzerland"
exenatide,NCT02974244,Comparison of the Effectiveness and Tolerability of Exenatide Once-weekly Compared to Basal Insulins,COMPLETED,2014-10-28,2014-10-28,,OBSERVATIONAL,7000,Type 2 Diabetes,AstraZeneca
exenatide,NCT00775684,"Effect of Exenatide, Sitagliptin or Glimepiride on Functional ß -Cell Mass",COMPLETED,,,NA,INTERVENTIONAL,47,Pre-diabetes; Type 2 Diabetes,University of Pennsylvania
exenatide,NCT05622123,BetaFIT Study: Beta Cell Imaging After Faecal mIcrobiota Transplantation,UNKNOWN,2023-02-23,2024-03-30,PHASE2,INTERVENTIONAL,20,Type 1 Diabetes,Radboud University Medical Center
exenatide,NCT02664441,Energy Balance & Weight Loss in Craniopharyngioma-related or Other Hypothalamic Tumors in Hypothalamic Obesity,COMPLETED,,2020-07-31,PHASE3,INTERVENTIONAL,42,Hypothalamic Obesity,Seattle Children's Hospital
exenatide,NCT02673931,GLP-1 and Hyperoxia for Organ Protection in Heart Surgery,ACTIVE_NOT_RECRUITING,,,NA,INTERVENTIONAL,1400,"Coronary Disease; Shock, Cardiogenic; Renal Failure; Stroke; Brain Injury; Aortic Valve Disease","Rigshospitalet, Denmark"
exenatide,NCT02496611,Enhancing Weight Loss Maintenance With GLP-1RA (BYDUREON™) in Adolescents With Severe Obesity,COMPLETED,,2020-08-14,PHASE2,INTERVENTIONAL,100,Severe Obesity,University of Minnesota
exenatide,NCT00135330,An Evaluation of Exenatide and Rosiglitazone in Subjects With Type 2 Diabetes Mellitus,COMPLETED,,,PHASE3,INTERVENTIONAL,137,"Diabetes Mellitus, Type 2",AstraZeneca
exenatide,NCT02320045,Study to Evaluate Pharmacokinetics of ITCA 650 in Subjects With Renal Impairment Compared to Normal Subjects,COMPLETED,,,PHASE1,INTERVENTIONAL,38,Renal Insufficiency,Intarcia Therapeutics
exenatide,NCT01969149,Exenatide for Stress Hyperglycemia,COMPLETED,,,"PHASE2, PHASE3",INTERVENTIONAL,110,Stress Hyperglycemia,Centre Hospitalier Universitaire de Besancon
exenatide,NCT02118376,Effects of GLP-1 Receptor Agonist on Fat Redistribution and Inflammatory Status,UNKNOWN,,,NA,INTERVENTIONAL,20,Obesity,Shanghai 10th People's Hospital
exenatide,NCT00803920,Continuous Glucose Monitoring (CGM) in Subjects With Type 2 Diabetes Taking Twice-Daily Exenatide or Once-Weekly Exenatide,COMPLETED,,,,OBSERVATIONAL,8,Type 2 Diabetes Mellitus,HealthPartners Institute
exenatide,NCT02325960,A Comparison of Exenatide and Insulin Glargine,COMPLETED,,,PHASE4,INTERVENTIONAL,44,Type 2 Diabetes,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School
exenatide,NCT00560417,Comparison of Two Basal Insulins for Patients With Type 2 Diabetes Taking Oral Diabetes Medicines and Exenatide,COMPLETED,,,PHASE3,INTERVENTIONAL,339,"Diabetes Mellitus, Type 2",Eli Lilly and Company
exenatide,NCT01147627,Effect of Different Interventions on Glycemic Control and β-cell Function in Newly Diagnosed Type 2 Diabetic Patients,COMPLETED,,,NA,INTERVENTIONAL,416,"Diabetes Mellitus, Type 2; Newly Diagnosed",Sun Yat-sen University
exenatide,NCT01857895,Feasibility Study of Exenatide by Continuous Subcutaneous Infusion,COMPLETED,2013-05-16,2013-11-01,PHASE1,INTERVENTIONAL,10,Obesity,GlaxoSmithKline
exenatide,NCT00623545,Bioenergetic Alterations After Exenatide Administration,COMPLETED,,,PHASE4,INTERVENTIONAL,28,Healthy,"University of Wisconsin, Madison"
exenatide,NCT00103935,Study Examining Exenatide Long-Acting Release in Subjects With Type 2 Diabetes,COMPLETED,,,PHASE2,INTERVENTIONAL,45,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT04733508,Glucagon Like Peptide 1 Receptor (GLP1R) Expression and Beta-cell Mass in Patients With Type 2 Diabetes,UNKNOWN,2019-11-01,2022-12-01,NA,INTERVENTIONAL,28,"Diabetes Mellitus; Diabetes Mellitus, Type 2",Radboud University Medical Center
exenatide,NCT00882050,Intravenous Exenatide (Byetta) During Surgery,COMPLETED,,,"PHASE1, PHASE2",INTERVENTIONAL,104,Euglycemia; Hypoglycemia; Hyperglycemia,Thomas Jefferson University
exenatide,NCT02092597,Safety Evaluation of Adverse Reactions in Diabetes,COMPLETED,,,PHASE4,INTERVENTIONAL,42,Type 2 Diabetes Mellitus,"Charles University, Czech Republic"
exenatide,NCT03287076,Trial of EXenatide in Acute Ischaemic Stroke,UNKNOWN,2017-11-23,2021-12-31,PHASE2,INTERVENTIONAL,350,Acute Ischemic Stroke,Neuroscience Trials Australia
exenatide,NCT00566813,Islet Transplantation in Type 1 Diabetic Patients Using the Edmonton Protocol of Steroid Free Immunosuppression,COMPLETED,,2020-07-15,"PHASE1, PHASE2",INTERVENTIONAL,10,"Diabetes Mellitus, Type 1",University of Illinois at Chicago
