generic_name,reaction,report_count,pct_serious,pct_hospitalization,pct_death,median_age,pct_female
albiglutide,Balance disorder,5,0.4,0.4,0.0,61.0,0.6
albiglutide,Blister,5,0.4,0.2,0.0,58.0,0.4
albiglutide,Blood creatinine increased,5,0.8,0.4,0.0,57.5,0.6
albiglutide,Cerebrovascular accident,5,1.0,0.4,0.0,70.5,0.6
albiglutide,Chest discomfort,5,0.2,0.0,0.0,53.5,0.2
albiglutide,Chromaturia,5,0.0,0.0,0.0,59.5,0.6
albiglutide,Hospitalisation,5,1.0,1.0,0.0,57.0,0.8
albiglutide,Hyperchlorhydria,5,0.0,0.0,0.0,52.0,0.6
albiglutide,Hypophagia,5,0.8,0.0,0.0,58.0,0.8
albiglutide,Incorrect dose administered by device,5,0.0,0.0,0.0,48.0,0.8
albiglutide,Incorrect route of drug administration,5,0.2,0.2,0.2,49.5,0.4
albiglutide,Injection site discomfort,5,0.0,0.0,0.0,66.5,0.6
albiglutide,Injection site hypersensitivity,5,0.0,0.0,0.0,,0.0
albiglutide,Intercepted drug dispensing error,5,0.0,0.0,0.0,,0.4
albiglutide,Lack of injection site rotation,5,0.0,0.0,0.0,61.0,0.8
albiglutide,Loss of consciousness,5,1.0,0.4,0.0,46.0,0.2
albiglutide,Myocardial infarction,5,1.0,0.6,0.0,59.5,0.6
albiglutide,Neck pain,5,0.0,0.0,0.0,50.0,0.6
albiglutide,Nervousness,5,0.0,0.0,0.0,60.0,0.6
albiglutide,Rash macular,5,0.2,0.2,0.0,63.0,0.4
albiglutide,Skin burning sensation,5,0.2,0.0,0.0,69.0,0.8
albiglutide,Skin lesion,5,0.4,0.0,0.0,62.0,0.6
albiglutide,Abdominal tenderness,4,0.5,0.0,0.0,55.0,0.75
albiglutide,Accidental overdose,4,0.25,0.0,0.0,63.5,0.75
albiglutide,Anger,4,0.0,0.0,0.0,73.0,0.75
albiglutide,Aspartate aminotransferase increased,4,0.75,0.0,0.0,59.0,1.0
albiglutide,Atrial fibrillation,4,1.0,0.75,0.0,66.0,0.5
albiglutide,Blood urine present,4,0.5,0.0,0.0,69.0,0.75
albiglutide,Bronchitis,4,0.25,0.25,0.0,51.5,1.0
